mol_key,tier,legacy,n_qubits,active_electrons,active_orbitals,basis,charge,mapping,geometry_angstrom,n_pauli_terms,e0_electronic_ha,energy_shift_ha,e0_total_ha,gap01_ha,gs_degeneracy,n_eigvals_stored,filename,sha256,size_bytes
T1_BeH2_STO3G_6q,T1,0,6,2,3,sto-3g,0,jordan_wigner,Be .0 .0 0.0; H .0 .0 1.326; H .0 .0 -1.326,33,-0.8702216396590273,-14.690667719460786,-15.560889359119813,0.21202364030482568,1,64,L1_BeH2_STO3G_6q_geom_Be_.0_.0_0.0;_H_.0_.0_1.326;_H_.0_.0_-1.326_jordan_wigner.npz,f6089a486c1400d5c2a28e3d4c4c343da343bcdead2966aad1ab4893606b658b,71966
T1_LiH_Equil_6q,T1,0,6,2,3,sto-3g,0,jordan_wigner,Li .0 .0 0.0; H .0 .0 1.595,61,-0.5990097287218585,-7.2640680429904725,-7.863077771712331,0.07724527887117194,1,64,L2_LiH_Equil_6q_geom_Li_.0_.0_0.0;_H_.0_.0_1.595_jordan_wigner.npz,bfbd5a56764da271293087224028b0e7d961a245399f3f4a6e8ca4a8a8d7d6cf,77342
T2_CH2_8q,T2,0,8,2,4,sto-3g,0,jordan_wigner,C .0 .0 0.0; H .0 0.86 0.73; H .0 -0.86 0.73,104,-2.5084610282844535,-35.89297162825014,-38.40143265653459,2.6645352591003757e-15,3,256,L3_CH2_Singlet_8q_geom_C_.0_.0_0.0;_H_.0_0.86_0.73;_H_.0_-0.86_0.73_jordan_wigner.npz,6b9b4f4757a40790b494dfaa079b1ce081f7928b310985dae918b852c39e39f8,1074794
T3_H2_Stretch_4q,T3,0,4,2,2,sto-3g,0,jordan_wigner,H .0 .0 0.0; H .0 .0 2.5,14,-0.392455831131502,-0.543599092250661,-0.9360549233821631,0.004415835851504013,1,16,L4_H2_Stretch_4q_geom_H_.0_.0_0.0;_H_.0_.0_2.5_jordan_wigner.npz,90747ada357d5710b9c20cc90896fe24196ffdc409f36f6e2c5e7017504162d3,7026
T3_H2O_StrongCorr_8q,T3,0,8,4,4,sto-3g,0,jordan_wigner,O .0 .0 0.0; H .0 1.186 0.918; H .0 -1.186 0.918,104,-1.0320676066413998,-73.71888810892972,-74.75095571557112,0.09387449195850461,1,256,L4_H2O_StrongCorr_8q_geom_O_.0_.0_0.0;_H_.0_1.186_0.918;_H_.0_-1.186_0.918_jordan_wigner.npz,3521cc2108dfb7df2e63463af032f53d503cd86afaf8003f1d7f8837595919b7,1068970
T3_H4_Chain_8q,T3,0,8,4,4,sto-3g,0,jordan_wigner,H .0 .0 0.0; H .0 .0 1.0; H .0 .0 2.0; H .0 .0 3.0,184,-1.834909806058677,-0.3314776612645126,-2.1663874673231898,0.2326302486768297,1,256,L5_H4_Chain_8q_geom_H_.0_.0_0.0;_H_.0_.0_1.0;_H_.0_.0_2.0;_H_.0_.0_3.0_jordan_wigner.npz,3be003998c239fcb04b2b7f567cac3b3cd4aa9824b22f0d926472091494fae00,1092394
T4_H3_Linear_6q,T4,0,6,2,3,sto-3g,1,jordan_wigner,H .0 .0 0.0; H .0 .0 1.0; H .0 .0 2.0,61,-1.2347231253597104,-0.3336287472761902,-1.5683518726359007,2.220446049250313e-16,2,64,L5_H3_Linear_6q_geom_H_.0_.0_0.0;_H_.0_.0_1.0;_H_.0_.0_2.0_jordan_wigner.npz,fc633a0eabfac11235c7998c95816f1f71e89293e088fa500423004a7c652f6b,77342
T5_BeH2_631G_8q,T5,0,8,2,4,6-31g,0,jordan_wigner,Be .0 .0 0.0; H .0 .0 1.326; H .0 .0 -1.326,60,-1.0483361228716368,-14.713167643797481,-15.761503766669119,0.08951060927022403,1,256,L6_BeH2_631G_8q_geom_Be_.0_.0_0.0;_H_.0_.0_1.326;_H_.0_.0_-1.326_jordan_wigner.npz,23325631f8b364c95084f13a73f2fcafb04c517e2d4bf01bac7fd596f9bfed02,1059454
T5_BeH2_6311G_10q,T5,0,10,2,5,6-311g,0,jordan_wigner,Be .0 .0 0.0; H .0 .0 1.326; H .0 .0 -1.326,155,-1.3799897684154419,-14.385134406855467,-15.765124175270909,0.06266371600018239,1,1024,L6_BeH2_6311G_10q_geom_Be_.0_.0_0.0;_H_.0_.0_1.326;_H_.0_.0_-1.326_jordan_wigner.npz,fa61e4710f2403a5c40a5e30e0a9e49f2fb97b3f7079421975c89061b4b14bd5,16830542
T5_BeH2_CCPVDZ_12q,T5,0,12,2,6,cc-pvdz,0,jordan_wigner,Be .0 .0 0.0; H .0 .0 1.326; H .0 .0 -1.326,326,-2.392836301518207,-13.37650639429699,-15.769342695815197,0.0677351023623407,1,4096,L6_BeH2_CCPVDZ_12q_geom_Be_.0_.0_0.0;_H_.0_.0_1.326;_H_.0_.0_-1.326_jordan_wigner.npz,7ed4be9c04a7156fd133f9e91511819b7bc9f19d43eb7ed8a0045788d877033c,268581422
